Mairie de Lens,17bis Place Jean Jaurès,62300,Lens
Gare de Lens,Place du Général de Gaulle,62300,Lens
Mairie de Loos en Gohelle,1 Place de la République,62750,Loos-en-Gohelle
Mairie de Liévin,45 Rue Edouard Vaillant,62800,Liévin
Mairie d'Arras,Place Guy Mollet,62000,Arras
Gare d'Arras,Place du Maréchal Foch,62000,Arras
Mairie de Béthune,Place du 4 Septembre,62400,Béthune
Gare de Béthune,Place François Mitterrand,62400,Béthune
Mairie de Lille,Rue Augustin Laurent,59000,Wattrelos
Gare de Lille,Place des Buisses,59000,Lille
Faculté des Sciences Jean Perrin,Rue Jean Souvraz,62300,Lens
Médiathèque Robert Cousin,13D Route de Béthune,62300,Lens
IUT de Lens,Rue de l'Université SP 16,62307,Lens
IFSI Croix-Rouge Française de Lens,33 Rue de Fécamp,62300,Lens
Centre Hospitalier de Lens,99 Route de la Bassée,62300,Lens
Irish Tavern,6 Avenue Raoul Briquet,62300,Lens
Stade Bollaert-Delelis,Avenue Alfred Maes,62300,Lens
Cimetière Nord,42 Rue Louise Michel,62300,Lens
Musée du Louvre-Lens,99 Rue Paul Bert,62300,Lens
Centre commercial Cora Lens 2,Route de la Bassée,62880,Vendin-le-Vieil
